# Quarkdown v2.5.1 @QFunction public inventory; generated from the pinned source sweep.
# Columns: public-name\texact-public-signature\tpinned-source\t#151-disposition/owner\t#147-status
# Binding annotations are retained in parameter markers: [injected], [body],
# [spread], [likely-named], and [likely-body]. `inferred` preserves a source
# declaration without an explicit Kotlin return type.
foreach	foreach(iterable: Iterable<Value<*>>, body[likely-body]: Lambda) -> IterableValue<OutputValue<*>>	https://github.com/iamgio/quarkdown/blob/107ec3a9482f10d6f90d7580f8409b46a719d18e/quarkdown-stdlib/src/main/kotlin/com/quarkdown/stdlib/Flow.kt#L176-L179	#150	NOT_APPLICABLE
repeat	repeat(times: Int, body[likely-body]: Lambda) -> IterableValue<OutputValue<*>>	https://github.com/iamgio/quarkdown/blob/107ec3a9482f10d6f90d7580f8409b46a719d18e/quarkdown-stdlib/src/main/kotlin/com/quarkdown/stdlib/Flow.kt#L211-L214	#150	NOT_APPLICABLE
function	function(context[injected]: MutableContext, name: String, body[body]: Lambda) -> VoidValue	https://github.com/iamgio/quarkdown/blob/107ec3a9482f10d6f90d7580f8409b46a719d18e/quarkdown-stdlib/src/main/kotlin/com/quarkdown/stdlib/Flow.kt#L281-L285	#150	NOT_APPLICABLE
extend	extend(context[injected]: MutableContext, name: String, where: Lambda? = null, body[body]: Lambda) -> VoidValue	https://github.com/iamgio/quarkdown/blob/107ec3a9482f10d6f90d7580f8409b46a719d18e/quarkdown-stdlib/src/main/kotlin/com/quarkdown/stdlib/Flow.kt#L382-L387	#150	NOT_APPLICABLE
var	var(context[injected]: MutableContext, name: String, value: DynamicValue) -> VoidValue	https://github.com/iamgio/quarkdown/blob/107ec3a9482f10d6f90d7580f8409b46a719d18e/quarkdown-stdlib/src/main/kotlin/com/quarkdown/stdlib/Flow.kt#L423-L427	#150	NOT_APPLICABLE
let	let(value: DynamicValue, body[body]: Lambda) -> OutputValue<*>	https://github.com/iamgio/quarkdown/blob/107ec3a9482f10d6f90d7580f8409b46a719d18e/quarkdown-stdlib/src/main/kotlin/com/quarkdown/stdlib/Flow.kt#L507-L510	#150	NOT_APPLICABLE
node	node() -> NodeValue	https://github.com/iamgio/quarkdown/blob/107ec3a9482f10d6f90d7580f8409b46a719d18e/quarkdown-stdlib/src/main/kotlin/com/quarkdown/stdlib/Flow.kt#L521-L521	#154	NOT_APPLICABLE
htmloptions	htmloptions(context[injected]: MutableContext, baseurl: String? = null, title: String? = null) -> inferred	https://github.com/iamgio/quarkdown/blob/107ec3a9482f10d6f90d7580f8409b46a719d18e/quarkdown-stdlib/src/main/kotlin/com/quarkdown/stdlib/Html.kt#L47-L51	#154	NOT_APPLICABLE
html	html(context[injected]: Context, content[likely-body]: String) -> NodeValue	https://github.com/iamgio/quarkdown/blob/107ec3a9482f10d6f90d7580f8409b46a719d18e/quarkdown-stdlib/src/main/kotlin/com/quarkdown/stdlib/Html.kt#L81-L84	#154	NOT_APPLICABLE
css	css(context[injected]: Context, content[likely-body]: String) -> inferred	https://github.com/iamgio/quarkdown/blob/107ec3a9482f10d6f90d7580f8409b46a719d18e/quarkdown-stdlib/src/main/kotlin/com/quarkdown/stdlib/Html.kt#L115-L121	#154	NOT_APPLICABLE
cssproperties	cssproperties(context[injected]: Context, properties: Map<String, Value<*>>) -> inferred	https://github.com/iamgio/quarkdown/blob/107ec3a9482f10d6f90d7580f8409b46a719d18e/quarkdown-stdlib/src/main/kotlin/com/quarkdown/stdlib/Html.kt#L152-L165	#154	NOT_APPLICABLE
llmstxt	llmstxt(context[injected]: MutableContext, content[body]: String, markdownavailable: Boolean) -> NodeValue	https://github.com/iamgio/quarkdown/blob/107ec3a9482f10d6f90d7580f8409b46a719d18e/quarkdown-stdlib/src/main/kotlin/com/quarkdown/stdlib/Html.kt#L194-L198	#155	NOT_APPLICABLE
icon	icon(name: String) -> inferred	https://github.com/iamgio/quarkdown/blob/107ec3a9482f10d6f90d7580f8409b46a719d18e/quarkdown-stdlib/src/main/kotlin/com/quarkdown/stdlib/Icon.kt#L21-L21	#154	NOT_APPLICABLE
container	container(width[likely-named]: Size? = null, height[likely-named]: Size? = null, fullwidth: Boolean = false, float[likely-named]: Container.FloatAlignment? = null, fullspan: Boolean = false, classname: String? = null, style[spread]: StyleOptions = StyleOptions.DEFAULT, body[body]: MarkdownContent? = null) -> inferred	https://github.com/iamgio/quarkdown/blob/107ec3a9482f10d6f90d7580f8409b46a719d18e/quarkdown-stdlib/src/main/kotlin/com/quarkdown/stdlib/Layout.kt#L127-L145	#154	NOT_APPLICABLE
align	align(alignment: NodeStyle.Alignment, body[body]: MarkdownContent) -> inferred	https://github.com/iamgio/quarkdown/blob/107ec3a9482f10d6f90d7580f8409b46a719d18e/quarkdown-stdlib/src/main/kotlin/com/quarkdown/stdlib/Layout.kt#L157-L164	#154	NOT_APPLICABLE
center	center(body[body]: MarkdownContent) -> inferred	https://github.com/iamgio/quarkdown/blob/107ec3a9482f10d6f90d7580f8409b46a719d18e/quarkdown-stdlib/src/main/kotlin/com/quarkdown/stdlib/Layout.kt#L175-L177	#154	NOT_APPLICABLE
float	float(alignment[likely-named]: Container.FloatAlignment, body[body]: MarkdownContent) -> inferred	https://github.com/iamgio/quarkdown/blob/107ec3a9482f10d6f90d7580f8409b46a719d18e/quarkdown-stdlib/src/main/kotlin/com/quarkdown/stdlib/Layout.kt#L188-L194	#154	NOT_APPLICABLE
row	row(alignment: Stacked.MainAxisAlignment = Stacked.MainAxisAlignment.START, cross: Stacked.CrossAxisAlignment = Stacked.CrossAxisAlignment.CENTER, gap[likely-named]: Size? = null, body[body]: MarkdownContent) -> inferred	https://github.com/iamgio/quarkdown/blob/107ec3a9482f10d6f90d7580f8409b46a719d18e/quarkdown-stdlib/src/main/kotlin/com/quarkdown/stdlib/Layout.kt#L229-L234	#154	NOT_APPLICABLE
column	column(alignment: Stacked.MainAxisAlignment = Stacked.MainAxisAlignment.START, cross: Stacked.CrossAxisAlignment = Stacked.CrossAxisAlignment.CENTER, gap[likely-named]: Size? = null, body[body]: MarkdownContent) -> inferred	https://github.com/iamgio/quarkdown/blob/107ec3a9482f10d6f90d7580f8409b46a719d18e/quarkdown-stdlib/src/main/kotlin/com/quarkdown/stdlib/Layout.kt#L247-L252	#154	NOT_APPLICABLE
grid	grid(columns: Int, alignment: Stacked.MainAxisAlignment = Stacked.MainAxisAlignment.CENTER, cross: Stacked.CrossAxisAlignment = Stacked.CrossAxisAlignment.CENTER, gap[likely-named]: Size? = null, vgap: Size? = gap, hgap: Size? = gap, body[body]: MarkdownContent) -> inferred	https://github.com/iamgio/quarkdown/blob/107ec3a9482f10d6f90d7580f8409b46a719d18e/quarkdown-stdlib/src/main/kotlin/com/quarkdown/stdlib/Layout.kt#L271-L279	#154	NOT_APPLICABLE
landscape	landscape(body[body]: MarkdownContent) -> inferred	https://github.com/iamgio/quarkdown/blob/107ec3a9482f10d6f90d7580f8409b46a719d18e/quarkdown-stdlib/src/main/kotlin/com/quarkdown/stdlib/Layout.kt#L306-L308	#154	NOT_APPLICABLE
fullspan	fullspan(body[body]: MarkdownContent) -> inferred	https://github.com/iamgio/quarkdown/blob/107ec3a9482f10d6f90d7580f8409b46a719d18e/quarkdown-stdlib/src/main/kotlin/com/quarkdown/stdlib/Layout.kt#L322-L324	#154	NOT_APPLICABLE
whitespace	whitespace(width[likely-named]: Size? = null, height[likely-named]: Size? = null) -> inferred	https://github.com/iamgio/quarkdown/blob/107ec3a9482f10d6f90d7580f8409b46a719d18e/quarkdown-stdlib/src/main/kotlin/com/quarkdown/stdlib/Layout.kt#L337-L340	#154	NOT_APPLICABLE
clip	clip(clip: Clipped.Clip, body[body]: MarkdownContent) -> inferred	https://github.com/iamgio/quarkdown/blob/107ec3a9482f10d6f90d7580f8409b46a719d18e/quarkdown-stdlib/src/main/kotlin/com/quarkdown/stdlib/Layout.kt#L351-L354	#154	NOT_APPLICABLE
